review_id,user_id,business_id,stars,useful,funny,cool,text,date
Grpna9MIkEZSCXF2Sawt7A,oqCtfkf3IcwLF7A5iLlxlQ,VQcCL9PiNL_wkGf-uF3fjg,3,1,0,1,"We waited about five minutes to get seated for the group of five, and we were seated upstairs. Our server was really friendly and gave us a quick rundown of the menu, and we got the crawfish beignet as an appetizer from the checking on Yelp. Apparently the appetizer isn't free like the Yelp check-in says but it's -$10 for whatever appetizer you get. Anyway, we ordered a bunch of food including two platters of oysters, and we then we started waiting. And waiting. After maybe twenty minutes, our first platter of oysters came, closely followed by the second plate. We noticed the second plate wasn't what we ordered so we asked the waiter who took it back. We then waited for another twenty or thirty minutes for our food, and our entrees came. Our oysters never did. We told the waiter and he said there was a mixup and our oysters were given to the table next to us. The manager came by afterward and told us that she'd give us two orders of what we got on the house (too bad I don't really eat oysters). So I ate my crawfish etouffee and it was quite good. A bit salty, but good. Nice spicy flavor and a good amount of crawfish, both fried bits on top and in the sauce. I asked for more bread as well so I could soak up the sauce. I quite enjoyed that dish. When the oysters finally came after we had already all finished our meal (this was probably another 10-15 minutes), the Rockefeller oysters came and I tried one. Way too much cheese on top! Otherwise I think ok as far as oysters go. Then we asked for the check do which also took at least five minutes to get here. My crawfish dish was $17 pre-tax which is a bit pricey, and combined with the mixup and the super long waiting times, I wouldn't suggest coming here. The waiter apologized many times for the mixup which is fine, but it doesn't excuse the super long wait times for our main entrees. To be fair, my food (the crawfish etouffee) was quite good and deserves 4 stars, but the long long long wait and inefficiencies (I'm excusing the mix-up with the oysters because there was a miscommunication which I understand happens - what isn't excusable is how long we waited for our entrees/other dishes, the check, etc etc) subtracted 1 star.",2017-01-02 13:44:50
n9NYeAy8_hg2Vc5F-PXxLA,moMgADvpLpjcLkkM1jJDBw,VQcCL9PiNL_wkGf-uF3fjg,5,0,0,0,"I make a bee-line to this place whenever I have the occasion to be in New Orleans hoping that one day I'll get to sit on the balcony and people-watch. While the Grande Scheme has never been fully executed, I still manage to enjoy sitting at the bar downstairs or up. Service is very attentive, and food is everything for which one could wish for in New Orleans. I had the linguine pasta tossed with spinach and mushrooms in a scampi sauce and topped with fried oysters. Usually I just get the signature grilled oysters, a loaf of french bread, and a nice refreshing Long Island Iced Tea. Bring a date: Outside seating is for 2/table max.",2015-08-06 23:24:25
NqGXepHWTx31NoMbzGuJ6w,Dxd7w58Gg26r_omokPhEeQ,VQcCL9PiNL_wkGf-uF3fjg,2,0,0,0,Our food was cold our wonderful waitress Sydney came back have it heated for us  And she stood there to make sure that we try that that it would be hot.  Well I lied and told her that it was hot because I was starving.  Sydney all of these stars are for you and you only. You were incredible.,2018-04-04 01:58:58
hKzDXRRngOORXRkzoguPag,0HIXT3QF0ru7FfdXGFKZ3Q,VQcCL9PiNL_wkGf-uF3fjg,3,1,0,0,The French onion soup is delicious.  The Poor boy sandwich would be better if the bread was softer. Use the free appetizers coupon.. Service was very good.,2014-02-23 21:54:46
ZZNGlKd56kUXZHT-ulvNnA,d-y1i_ope23D7rip05tYOQ,VQcCL9PiNL_wkGf-uF3fjg,5,0,0,0,This place was delicious. The crab fingers appetizer was fabulous!!! It's like $10 and you don't even know how good. You must try. We got the shrimp po boy and the chargrilled oysters too. They were also handsome. Check this place out.,2014-10-27 04:49:46
-FkoiGjeYobRDeJvPr1Q2Q,80RKRlNVe4LYgne0OZQyvQ,VQcCL9PiNL_wkGf-uF3fjg,5,0,0,0,"Must get the char grilled oysters! Creole shrimp was bomb, gator bites on point and the crawfish ravioli was to die for. Cute spot that offers upstairs dining and balcony seating, if you prefer. A must go to while staying in Nola!",2015-10-17 03:27:50
NBUCA9R4w6Ro7jeOHPfH_w,Zxk_M8j9COU_OVBsIwitcQ,VQcCL9PiNL_wkGf-uF3fjg,3,0,0,0,"In our group we had the crab claw, fried shrimp, fried oysters, a dozen oysters, and banana bread. The crab claw appetizer is recommendable. The oysters the biggest I've ever had, and very fresh, but more on the mild side. The fried stuff were also fresh but the batter much too salty. The Bloody Mary could also have been so delicious but again was overly salty. Good ambience and great service.",2013-07-12 23:54:50
kZyy-lsYmdkCsi5GWQvADw,vORjt6j_HC78fjs_4V0CoA,VQcCL9PiNL_wkGf-uF3fjg,5,0,0,0,We had friends recommend that we go to the Royal House on a recent trip to NOLA. It was our first destination for lunch on day 1. We told our waiter Chris that we wanted to share several dishes. He suggested the best oysters we had ever had! We followed that with a salad and a po boy. The food was just what we wanted. I had to have a hurricane of course too.  Chris was so great that we came back everyday on our trip to sit at the bar and have oysters and drinks. I can't wait to go back!!,2013-03-18 18:02:06
oJ31qLIZu51FFGNfD1byMQ,4mKhbX5p78-O6Bd3FdwI7w,VQcCL9PiNL_wkGf-uF3fjg,4,0,0,0,"Stopped in during a a weekend trip to Nawlins. For appetizers, grilled oysters were awesome. The Taste of New Orleans platter was also very good for an entree. Grits could have used more flavor. Great ambience and energy and the service was personalized and prompt.",2015-10-17 00:29:41
wmaB2tcl8yTpH5VOaulZ7A,eYbgE1O9YR-0Lz_u_R-PHQ,VQcCL9PiNL_wkGf-uF3fjg,2,0,0,0,Food was ok.  Cocktails were very bad!!  We were very surprised this place had such high ratings.,2018-05-19 00:56:00
